iter	Passed	Remaining
138	143769	890545
139	144735	889087
140	145713	887715
141	146755	886732
142	147752	885479
143	148781	884425
144	149749	883007
145	150704	881515
146	151657	880026
147	152630	878655
148	153618	877375
149	154624	876205
150	155610	874922
151	156592	873620
152	157581	872363
153	158560	871051
154	159543	869767
155	160514	868426
156	161485	867083
157	162474	865846
158	163523	864925
159	164490	863575
160	165432	862100
161	166421	860869
162	167383	859507
163	168377	858314
164	169381	857174
165	170362	855919
166	171360	854751
167	172393	853760
168	173386	852568
169	174351	851244
170	175326	849976
171	176340	848892
172	177363	847861
173	178387	846826
174	179365	845579
175	180322	844234
176	181299	842990
177	182398	842312
178	183408	841220
179	184370	839911
180	185386	838849
181	186441	837962
182	187455	836893
183	188484	835888
184	189518	834907
185	190530	833826
186	191594	832976
187	192599	831868
188	193647	830942
189	194660	829870
190	195643	828666
191	196620	827444
192	197664	826505
193	198627	825227
194	199593	823962
195	200593	822842
196	201580	821668
197	202601	820638
198	203587	819466
199	204599	818398
200	205588	817240
201	206568	816048
202	207568	814935
203	208570	813834
204	209539	812604
205	210534	811477
206	211512	810285
207	212511	809177
208	213475	807939
209	214451	806746
210	215447	805630
211	216430	804466
212	217433	803381
213	218403	802174
214	219386	801016
215	220408	800000
216	221396	798865
217	222393	797758
218	223360	796551
219	224335	795373
220	225316	794215
221	226362	793286
222	227337	792113
223	228433	791358
224	229536	790625
225	230551	789588
226	231551	788498
227	232591	787545
228	233674	786738
229	234713	785779
230	235736	784767
231	236838	784018
232	237820	782866
233	238810	781747
234	239837	780747
235	240824	779617
236	241938	778897
237	242989	777975
238	244027	777006
239	245052	775999
240	246083	775011
241	247172	774201
242	248216	773250
243	249254	772280
244	250287	771293
245	251328	770331
246	252394	769447
247	253454	768540
248	254465	767485
249	255465	766396
250	256461	765298
251	257481	764271
252	258487	763201
253	259578	762383
254	260603	761369
255	261661	760455
256	262796	759759
257	263894	758952
258	264924	757951
259	266084	757316
260	267303	756847
261	268404	756041
262	269405	754950
263	270414	753881
264	271477	752966
265	272510	751963
266	273514	750885
267	274488	749722
268	275467	748574
269	276479	747518
270	277496	746476
271	278481	745347
272	279553	744453
273	280625	743556
274	281659	742557
275	282710	741602
276	283712	740519
277	284711	739430
278	285683	738270
279	286737	737325
280	287766	736313
281	288756	735203
282	289795	734217
283	290900	733396
284	292021	732615
285	293095	731713
286	294096	730630
287	295125	729615
288	296151	728594
289	297160	727530
290	298226	726607
291	299226	725522
292	300215	724409
293	301217	723331
294	302408	722705
295	303403	721608
296	304464	720669
297	305539	719760
298	306596	718809
299	307655	717861
300	308691	716862
301	309779	715980
302	311000	715404
303	312104	714556
304	313179	713637
305	314166	712521
306	315251	711625
307	316332	710720
308	317445	709887
309	318558	709050
310	319736	708354
311	320812	707432
312	321909	706554
313	323000	705662
314	324196	704998
315	325346	704232
316	326602	703688
317	327656	702710
318	328719	701748
319	329940	701123
320	331056	700272
321	332217	699514
322	333364	698722
323	334422	697746
324	335602	697020
325	336699	696121
326	337845	695321
327	338901	694334
328	340016	693468
329	341098	692533
330	342250	691739
331	343294	690725
332	344423	689880
333	345535	689001
334	346650	688127
335	347674	687071
336	348722	686062
337	349769	685051
338	350832	684071
339	351931	683160
340	352981	682154
341	354037	681159
342	355088	680155
343	356134	679140
344	357200	678162
345	358187	677037
346	359228	676011
347	360193	674844
348	361221	673796
349	362283	672811
350	363313	671766
351	364387	670803
352	365504	669919
353	366564	668929
354	367670	668021
355	368747	667059
356	369851	666147
357	370962	665245
358	372144	664469
359	373210	663485
360	374314	662567
361	375441	661690
362	376600	660866
363	377683	659909
364	378843	659083
365	379897	658073
366	380941	657046
367	382107	656228
368	383249	655367
369	384446	654597
370	385639	653820
371	386838	653050
372	388024	652256
373	389163	651380
374	390340	650567
375	391439	649622
376	392637	648841
377	393786	647977
378	394951	647137
379	395998	646103
380	396982	644966
381	397980	643852
382	398972	642730
383	399992	641654
384	400972	640515
385	401964	639394
386	402922	638220
387	403882	637052
388	404850	635896
389	405828	634757
390	406796	633603
391	407756	632438
392	408732	631299
393	409749	630224
394	410720	629077
395	411690	627931
396	412643	626760
397	413607	625607
398	414580	624468
399	415559	623338
400	416542	622217
401	417500	621057
402	418482	619935
403	419499	618866
404	420475	617734
405	421446	616599
406	422579	615699
407	423597	614631
408	424603	613547
409	425669	612548
410	426764	611591
411	427935	610743
412	429180	609997
413	430484	609333
414	431740	608597
415	432930	607767
416	434132	606952
417	435343	606147
418	436442	605185
419	437498	604165
420	438554	603142
421	439562	602054
422	440552	600942
423	441566	599864
424	442579	598783
425	443595	597708
426	444633	596662
427	445670	595616
428	446662	594508
429	447671	593425
430	448647	592298
431	449665	591227
432	450664	590130
433	451732	589125
434	452736	588036
435	453748	586959
436	454747	585864
437	455754	584780
438	456865	583830
439	457854	582723
440	458851	581627
441	459884	580577
442	460881	579482
443	461871	578379
444	462837	577246
445	463807	576120
446	464763	574976
447	465715	573828
448	466692	572711
449	467666	571592
450	468718	570568
451	469788	569566
452	470854	568559
453	471842	567457
454	472846	566376
455	473838	565280
456	474827	564182
457	475788	563051
458	476783	561960
459	477826	560926
460	478894	559922
461	480080	559054
462	481124	558021
463	482244	557075
464	483262	556012
465	484328	555003
466	485405	554007
467	486524	553057
468	487632	552095
469	488688	551074
470	489787	550100
471	490823	549056
472	491843	547994
473	492888	546960
474	493972	545969
475	495028	544947
476	496089	543930
477	497133	542894
478	498148	541827
479	499168	540766
480	500162	539676
481	501311	538753
482	502476	537847
483	503505	536795
484	504552	535762
485	505553	534679
486	506565	533609
487	507819	532794
488	509211	532120
489	510554	531393
490	511831	530595
491	512985	529668
492	514111	528710
493	515177	527691
494	516216	526644
495	517303	525647
496	518361	524619
497	519485	523658
498	520629	522716
499	521704	521704
500	522846	520759
501	523971	519796
502	525037	518774
503	526087	517737
504	527162	516723
505	528270	515742
506	529383	514765
507	530419	513713
508	531484	512689
509	532600	511714
510	533765	510785
511	534954	509878
512	536155	508981
513	537316	508046
514	538373	507012
515	539451	505997
516	540604	505052
517	541756	504105
518	542832	503087
519	544019	502171
520	545104	501160
521	546244	500201
522	547455	499304
523	548636	498379
524	549735	497379
525	550850	496393
526	551926	495372
527	553090	494429
528	554456	493665
529	555781	492862
530	557123	492072
531	558425	491246
532	559648	490348
533	560938	489507
534	562098	488552
535	563281	487616
536	564447	486665
537	565625	485722
538	566685	484679
539	567762	483649
540	568861	482638
541	569930	481602
542	570972	480542
543	572024	479490
544	573112	478469
545	574215	477461
546	575356	476483
547	576511	475516
548	577819	474674
549	578923	473664
550	580060	472680
551	581183	471685
552	582429	470788
553	583586	469818
554	584805	468897
555	586091	468030
556	587284	467086
557	588448	466118
558	589523	465080
559	590702	464123
560	591789	463093
561	592870	462059
562	593933	461010
563	594976	459946
564	596039	458897
565	597087	457837
566	598132	456774
567	599150	455691
568	600160	454603
569	601177	453519
570	602281	452502
571	603327	451440
572	604408	450405
573	605459	449347
574	606530	448304
575	607639	447289
576	608807	446318
577	609943	445322
578	611016	444279
579	612108	443251
580	613166	442197
581	614215	441137
582	615281	440089
583	616288	439000
584	617317	437926
585	618325	436837
586	619385	435786
587	620414	434712
588	621422	433624
589	622433	432538
590	623456	431461
591	624464	430374
592	625489	429299
593	626580	428268
594	627628	427209
595	628641	426125
596	629652	425041
597	630656	423953
598	631667	422869
599	632726	421817
600	633842	420803
601	634893	419746
602	635961	418700
603	637031	417656
604	638096	416608
605	639270	415631
606	640360	414599
607	641359	413507
608	642390	412437
609	643425	411370
610	644523	410343
611	645558	409275
612	646591	408206
613	647609	407129
614	648667	406076
615	649671	404989
616	650675	403904
617	651691	402825
618	652712	401750
619	653735	400676
620	654749	399597
621	655769	398522
622	656777	397439
623	657820	396379
624	658838	395303
625	659852	394224
626	660879	393154
627	661933	392100
628	663034	391074
629	664095	390024
630	665200	389000
631	666295	387969
632	667354	386917
633	668397	385857
634	669648	384915
635	670822	383929
636	671885	382879
637	673013	381866
638	674075	380815
639	675182	379790
640	676337	378791
641	677499	377795
642	678594	376762
643	679594	375676
644	680622	374606
645	681671	373547
646	682713	372485
647	683741	371414
648	684730	370324
649	685748	369248
650	686770	368176
651	687781	367098
652	688748	365996
653	689744	364910
654	690736	363823
655	691724	362733
656	692705	361640
657	693683	360546
658	694676	359460
659	695650	358365
660	696634	357275
661	697628	356191
662	698610	355100
663	699591	354010
664	700624	352946
665	701625	351866
666	702694	350820
667	703740	349763
668	704745	348685
669	705739	347603
670	706757	346532
671	707790	345468
672	708831	344409
673	709839	343334
674	710859	342265
675	711883	341198
676	712853	340105
677	713842	339022
678	714823	337935
679	715837	336864
680	716869	335802
681	717917	334747
682	718936	333679
683	719941	332604
684	720969	331540
685	721987	330472
686	723009	329405
687	724036	328342
688	725110	327299
689	726158	326245
690	727231	325202
691	728357	324182
692	729488	323164
693	730579	322128
694	731691	321101
695	732789	320069
696	733840	319015
697	734871	317952
698	735854	316869
699	736825	315782
700	737821	314705
701	738911	313669
702	739956	312613
703	741052	311579
704	742093	310521
705	743292	309529
706	744422	308508
707	745438	307440
708	746547	306410
709	747671	305386
710	748793	304361
711	749815	303296
712	750795	302213
713	751873	301170
714	753032	300159
715	754138	299127
716	755204	298079
717	756250	297023
718	757236	295943
719	758251	294875
720	759221	293790
721	760196	292707
722	761160	291620
723	762127	290534
724	763109	289455
725	764066	288366
726	765038	287283
727	766000	286197
728	766970	285115
729	767947	284035
730	768970	282972
731	770023	281921
732	771003	280843
733	772039	279785
734	773146	278753
735	774179	277694
736	775247	276648
737	776301	275597
738	777382	274555
739	778403	273493
740	779532	272468
741	780535	271399
742	781549	270333
743	782540	269261
744	783528	268187
745	784534	267120
746	785622	266081
747	786724	265046
748	787747	263984
749	788837	262945
750	789906	261899
751	791013	260866
752	792131	259835
753	793247	258805
754	794415	257790
755	795468	256738
756	796560	255699
757	797775	254698
758	798944	253683
759	800039	252644
760	801069	251584
761	802242	250569
762	803284	249513
763	804275	248441
764	805302	247380
765	806435	246352
766	807580	245327
767	808732	244304
768	809751	243241
769	810732	242166
770	811778	241111
771	812872	240071
772	813943	239023
773	815034	237981
774	816055	236919
775	817062	235852
776	818066	234786
777	819110	233730
778	820137	232670
779	821151	231606
780	822207	230554
781	823230	229494
782	824235	228428
783	825287	227375
784	826297	226310
785	827279	225238
786	828277	224171
787	829286	223107
788	830287	222041
789	831315	220982
790	832327	219919
791	833357	218861
792	834366	217798
793	835408	216743
794	836440	215685
795	837448	214622
796	838439	213554
797	839471	212497
798	840490	211437
799	841509	210377
800	842582	209330
801	843674	208288
802	844750	207242
803	845796	206189
804	847064	205189
805	848185	204153
806	849319	203121
807	850546	202110
808	851648	201069
809	852739	200025
810	853860	198988
811	854944	197942
812	856045	196901
813	857054	195838
814	858065	194775
815	859090	193716
816	860165	192668
817	861175	191606
818	862222	190552
819	863226	189488
820	864229	188425
821	865249	187365
822	866252	186302
823	867245	185236
824	868266	184177
825	869328	183127
826	870335	182065
827	871328	181000
828	872339	179939
829	873338	178876
830	874352	177816
831	875378	176759
832	876441	175709
833	877502	174658
834	878507	173597
835	879507	172534
836	880513	171473
837	881519	170413
838	882526	169352
839	883525	168290
840	884574	167238
841	885590	166179
842	886598	165119
843	887607	164060
844	888602	162998
845	889609	161938
846	890622	160879
847	891637	159821
848	892669	158766
849	893659	157704
850	894689	156649
851	895711	155593
852	896721	154534
853	897780	153484
854	899020	152465
855	900029	151406
856	901181	150372
857	902323	149335
858	903545	148311
859	904602	147260
860	905680	146213
861	906767	145166
862	907832	144117
863	908902	143067
864	910028	142027
865	911216	140996
866	912347	139956
867	913487	138917
868	914663	137883
869	915783	136841
870	916866	135793
871	917955	134745
872	918980	133689
873	920076	132642
874	921152	131593
875	922159	130533
876	923159	129473
877	924189	128418
878	925205	127360
879	926207	126300
880	927223	125243
881	928248	124187
882	929256	123129
883	930268	122071
884	931288	121014
885	932324	119960
886	933332	118902
887	934355	117846
888	935370	116789
889	936402	115735
890	937488	114687
891	938519	113632
892	939578	112581
893	940593	111524
894	941629	110470
895	942661	109416
896	943702	108362
897	944725	107307
898	945766	106254
899	946841	105204
900	947889	104152
901	948921	103097
902	949944	102042
903	950987	100989
904	952014	99935
905	953041	98880
906	954073	97826
907	955128	96775
908	956222	95727
909	957246	94672
910	958257	93616
911	959279	92562
912	960306	91507
913	961326	90453
914	962426	89405
915	963591	88364
916	964725	87319
917	965797	86269
918	966899	85221
919	968026	84176
920	969177	83132
921	970295	82085
922	971415	81038
923	972606	79997
924	973740	78951
925	974921	77909
926	976124	76868
927	977289	75824
928	978526	74785
929	979630	73735
930	980722	72685
931	981761	71630
932	982737	70571
933	983748	69515
934	984746	68458
935	985732	67400
936	986766	66346
937	987849	65294
938	988919	64242
939	989929	63187
940	990936	62130
941	991911	61073
942	992925	60017
943	993932	58962
944	994995	57909
945	995980	56853
946	997015	55799
947	998039	54744
948	999034	53688
949	1000037	52633
950	1001035	51578
951	1002011	50521
952	1002971	49464
953	1003961	48409
954	1004984	47355
955	1005976	46300
956	1006950	45244
957	1008053	44194
958	1009096	43141
959	1010124	42088
960	1011126	41034
961	1012140	39980
962	1013146	38926
963	1014156	37873
964	1015161	36819
965	1016182	35766
966	1017197	34713
967	1018192	33659
968	1019182	32605
969	1020273	31554
970	1021370	30504
971	1022368	29450
972	1023346	28397
973	1024352	27344
974	1025427	26293
975	1026550	25243
976	1027632	24191
977	1028757	23141
978	1029843	22090
979	1030878	21038
980	1031958	19986
981	1033024	18935
982	1034200	17885
983	1035273	16833
984	1036445	15783
985	1037538	14731
986	1038557	13679
987	1039567	12626
988	1040594	11573
989	1041565	10520
990	1042560	9468
991	1043535	8415
992	1044530	7363
993	1045529	6311
994	1046527	5258
995	1047624	4207
996	1048665	3155
997	1049655	2103
998	1050659	1051
999	1051772	0
